Ticker,Asset Type,Classification Source,User Override,Historical Real Drift (daily),Adjusted Real Drift (daily),Historical Real Return (annual),Adjusted Real Return (annual),Forward Nominal Input (annual),Forward Real Target (annual),Valuation Scalar Applied,Metadata Available,Metadata Category
VOO,equity,user,Stock,0.0002913971981286878,0.00014715986192188746,0.07619545398501845,0.037780486692422253,,,0.5050146771037182,True,Large Blend
INTC,equity,user,Stock,-0.0005547649322731642,-0.00028016443314039807,-0.13046853896014834,-0.06816678777501838,,,0.5050146771037182,True,
IEF,equity,user,Stock,-8.507727995681675e-05,-4.296527506625444e-05,-0.021211282695196117,-0.010768845626630923,,,0.5050146771037182,True,Long Government
0LQQ.L,equity,user,Stock,-0.0005652034059480312,-0.0002854360155527667,-0.1327528317111333,-0.06940384927721636,,,0.5050146771037182,True,
AMD,equity,user,Stock,0.0008723246226010991,0.00044053673761251685,0.24585968902539007,0.11741195606008771,,,0.5050146771037182,True,
CHD,equity,user,Stock,0.0003131353887707128,0.0001581379672497888,0.0821070557205239,0.040655463244543,,,0.5050146771037182,True,
KR,equity,user,Stock,0.0003035405941523012,0.00015329245514369513,0.07949380234236163,0.039385526563875395,,,0.5050146771037182,True,
NEE,equity,user,Stock,0.00022655815411441813,0.00011441519304530729,0.05875390452125241,0.029252312706290275,,,0.5050146771037182,True,
FSLR,equity,user,Stock,0.0004116703057871446,0.00020789954655028376,0.1093130136028567,0.053787361786652874,,,0.5050146771037182,True,
INSM,equity,user,Stock,0.0005839615647152294,0.00029490916104564355,0.158537361553129,0.07714832432343019,,,0.5050146771037182,True,
GILD,equity,user,Stock,7.166338739485352e-05,3.619106244537062e-05,0.018223226565016445,0.009161863003625282,,,0.5050146771037182,True,
TEF,equity,user,Stock,-0.0003340202547735899,-0.0001686851311105862,-0.0807278875450102,-0.041617827434080386,,,0.5050146771037182,True,
ESRT,equity,user,Stock,-0.0003030489787044616,-0.00015304418212704524,-0.07352511649715898,-0.037832891455069816,,,0.5050146771037182,True,
BMW,equity,user,Stock,-0.0002246925173865981,-0.00011347301911561442,-0.05504929264827712,-0.02819022734231084,,,0.5050146771037182,True,
PPG,equity,user,Stock,-0.00015961546630642503,-8.060815317749864e-05,-0.0394248866697682,-0.020108330349622762,,,0.5050146771037182,True,
KGC,equity,user,Stock,0.000464860477138937,0.00023476136376060063,0.12428225920925993,0.0609448337162351,,,0.5050146771037182,True,
HASI,equity,user,Stock,9.310753731602693e-05,4.702067289357573e-05,0.023740523413797367,0.011919689555166818,,,0.5050146771037182,True,
ADBE,equity,user,Stock,0.00021290347594900231,0.00010751938016064463,0.0551170154956468,0.027465287949918246,,,0.5050146771037182,True,
PRU,equity,user,Stock,1.0706831259511283e-05,5.407106931326087e-06,0.00270176468301716,0.0013635196955251933,,,0.5050146771037182,True,
AIG,equity,user,Stock,8.13097445638663e-05,4.106261439630674e-05,0.02070141796026108,0.010401502237288482,,,0.5050146771037182,True,
